year,team,continuity,wins
1999-00,TOR,72%,45
2012-13,TOR,55%,34
2002-03,TOR,67%,24
2015-16,TOR,62%,56
2008-09,TOR,78%,33
1998-99,TOR,58%,23
1996-97,TOR,50%,30
2005-06,TOR,54%,27
1997-98,TOR,67%,16
2011-12,TOR,78%,23
2003-04,TOR,38%,33
2000-01,TOR,64%,47
2001-02,TOR,90%,42
2014-15,TOR,82%,49
2013-14,TOR,68%,48
2010-11,TOR,59%,22
2006-07,TOR,37%,47
2007-08,TOR,71%,41
2004-05,TOR,66%,33
2009-10,TOR,38%,40
